iter	Logloss
0	0.6343004684
1	0.5840852675
2	0.5391549526
3	0.5012911129
4	0.4674068935
5	0.438058192
6	0.4131854559
7	0.3915488985
8	0.3727325319
9	0.3561162521
10	0.3418327637
11	0.3293788731
12	0.3183940362
13	0.308822277
14	0.3003835981
15	0.2928820304
16	0.2861471738
17	0.2800146505
18	0.2750696647
19	0.2706714508
20	0.2668526164
21	0.2632541432
22	0.2602852742
23	0.2572770781
24	0.2546675706
25	0.252418816
26	0.2504482628
27	0.2488695639
28	0.2472613293
29	0.2459185096
30	0.2448142999
31	0.2438360967
32	0.2428379962
33	0.242034657
34	0.2412916681
35	0.2405862169
36	0.2398796351
37	0.2393939503
38	0.2388016291
39	0.2383215692
40	0.2378911487
41	0.2375911735
42	0.2371921552
43	0.2368041252
44	0.236593115
45	0.2362788385
46	0.2360515496
47	0.2358291857
48	0.2356401749
49	0.2354827805
50	0.2352800916
51	0.2351522415
52	0.2350696237
53	0.2349515535
54	0.2347960691
55	0.234631148
56	0.2345185207
57	0.2344103813
58	0.2343165308
59	0.234212035
60	0.2341466601
61	0.234032857
62	0.2339444999
63	0.2338875179
64	0.2337960718
65	0.2336892019
66	0.2336164969
67	0.2335434061
68	0.2334896064
69	0.2334070383
70	0.2333052633
71	0.2332387559
72	0.2331911239
73	0.2331720864
74	0.2331237272
75	0.2330600578
76	0.2330034566
77	0.2329350038
78	0.2329200758
79	0.2328585505
80	0.2328177735
81	0.2327905402
82	0.2327420578
83	0.2327306143
84	0.2326989411
85	0.2326373959
86	0.2325812095
87	0.2325134264
88	0.2324706945
89	0.232434574
90	0.2323982497
91	0.2323671849
92	0.232325052
93	0.2322951009
94	0.2322728783
95	0.2322132475
96	0.2321717792
97	0.2321004688
98	0.2320747283
99	0.2320484907
100	0.2319899204
101	0.2319517303
102	0.2318824117
103	0.231844651
104	0.2318142599
105	0.2317794173
106	0.2317374141
107	0.2316998961
108	0.2316311454
109	0.2315973916
110	0.2315397916
111	0.2315000663
112	0.2314524104
113	0.231411814
114	0.2313799483
115	0.2313697484
116	0.231345164
117	0.231317067
118	0.231302967
119	0.2312704474
120	0.2312164762
121	0.2311943873
122	0.2311561683
123	0.2311323307
124	0.2311289359
125	0.2310982764
126	0.2310814645
127	0.2310261798
128	0.2310030318
129	0.2309506266
130	0.2309191788
131	0.2308786865
132	0.2308036844
133	0.2307767477
134	0.2307616445
135	0.2307266285
136	0.2307015071
137	0.23066367
138	0.2306360634
139	0.2305887496
140	0.230564366
141	0.2305363107
142	0.2305034996
143	0.2304787765
144	0.2304493121
145	0.2304259339
146	0.2304016522
147	0.2303845896
148	0.2303777501
149	0.2303334345
150	0.2302980169
151	0.2302873748
152	0.230264608
153	0.2302309485
154	0.2301884135
155	0.2301658755
156	0.23016112
157	0.2301372159
158	0.2300985192
159	0.2300714958
160	0.2300476595
161	0.2300065447
162	0.2299869121
163	0.2299454581
164	0.2298921355
165	0.2298619035
166	0.2298244795
167	0.2297812158
168	0.2297425139
169	0.2297015349
170	0.2296568356
171	0.2296541434
172	0.2296356987
173	0.2295892864
174	0.2295575985
175	0.2295427225
176	0.2294975796
177	0.2294689805
178	0.2294258593
179	0.2293893755
180	0.2293565025
181	0.2293166012
182	0.2292619291
183	0.229230426
184	0.2291690482
185	0.2291501805
186	0.2291457812
187	0.2291221824
188	0.2290792083
189	0.2290204088
190	0.2289938658
191	0.2289623194
192	0.2289337752
193	0.2289229955
194	0.2288742786
195	0.2288372242
196	0.228795433
197	0.2287888866
198	0.2287572372
199	0.2287168991
200	0.2286676594
201	0.2286033542
202	0.2285746219
203	0.2285519265
204	0.2285256617
205	0.2284918026
206	0.228466635
207	0.2284351887
208	0.2284056005
209	0.2283749356
210	0.2283315422
211	0.2283099778
212	0.2282976702
213	0.2282739421
214	0.2282478091
215	0.2282145263
216	0.2282035579
217	0.2281560352
218	0.2281156115
219	0.2280989888
220	0.2280433943
221	0.2280114281
222	0.227983784
223	0.2279469224
224	0.2279126906
225	0.2279088745
226	0.2278899303
227	0.2278796048
228	0.2278495499
229	0.2278195728
230	0.2277990841
231	0.2277574581
232	0.2277143299
233	0.2276779205
234	0.2276431539
235	0.2275999529
236	0.227565629
237	0.2275465677
238	0.2275283419
239	0.2275012004
240	0.2274523793
241	0.2274094494
242	0.2273589212
243	0.2273170946
244	0.2272933446
245	0.2272595986
246	0.2272260986
247	0.2271863644
248	0.2271484316
249	0.2271246402
250	0.2270828155
251	0.2270604521
252	0.227016292
253	0.2269924649
254	0.226967382
255	0.2269180898
256	0.2268769341
257	0.226854804
258	0.2268244823
259	0.2267881833
